epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,5892.08,0.65721,0.61766,0.98257,0.88872,0.79478,0.86873,0.73155,0.67442,0.76695,0.98824,0.000759318,0.000759318,0.000759318
57,5981.24,0.624,0.59527,0.98689,0.89702,0.80495,0.85894,0.73068,0.66576,0.72787,0.99436,0.000742815,0.000742815,0.000742815
58,6069.32,0.59133,0.59263,0.94247,0.9393,0.80101,0.86754,0.73541,0.6807,0.7816,1.00331,0.000726312,0.000726312,0.000726312
59,6157.54,0.61397,0.61776,0.98743,0.86299,0.85704,0.88728,0.73717,0.66248,0.70271,0.98867,0.000709809,0.000709809,0.000709809
60,6246.62,0.70335,0.65084,1.01238,0.94738,0.80081,0.90086,0.74412,0.65311,0.68482,0.98612,0.000693305,0.000693305,0.000693305
61,6333.28,0.60585,0.62089,0.95944,0.93017,0.83824,0.90383,0.75292,0.65141,0.67741,0.99747,0.000676802,0.000676802,0.000676802
62,6428.03,0.64906,0.56117,0.98447,0.96271,0.8302,0.90012,0.73392,0.68746,0.68171,1.01914,0.000660299,0.000660299,0.000660299
63,6518.03,0.6149,0.54684,0.96633,0.94209,0.7859,0.90248,0.73584,0.66801,0.69773,0.99775,0.000643795,0.000643795,0.000643795
64,6608.18,0.65943,0.62673,1.01267,0.93764,0.78051,0.89304,0.72327,0.65009,0.7136,0.99616,0.000627292,0.000627292,0.000627292
65,6696.9,0.66575,0.61456,0.98132,0.91363,0.81414,0.88462,0.72036,0.69026,0.7414,1.00888,0.000610789,0.000610789,0.000610789
66,6786.13,0.61436,0.58095,0.95863,0.9527,0.83139,0.91635,0.75187,0.66933,0.68508,0.98881,0.000594286,0.000594286,0.000594286
67,6876.61,0.56832,0.5442,0.9397,0.89744,0.79937,0.89869,0.73636,0.6771,0.70933,0.99547,0.000577782,0.000577782,0.000577782
68,6966.62,0.58545,0.55444,0.97509,0.98483,0.7952,0.90593,0.73406,0.67243,0.70156,0.99572,0.000561279,0.000561279,0.000561279
69,7103.45,0.59631,0.56953,0.94832,0.96523,0.79192,0.91635,0.761,0.63686,0.66217,0.97736,0.000544776,0.000544776,0.000544776
70,7244.51,0.53773,0.5027,0.92879,0.91642,0.86566,0.93616,0.77635,0.64848,0.62681,0.98465,0.000528272,0.000528272,0.000528272
71,7391.09,0.5597,0.55034,0.93013,0.91642,0.83724,0.91281,0.77187,0.61402,0.62077,0.96456,0.000511769,0.000511769,0.000511769
72,7531.13,0.55585,0.51144,0.93123,0.89822,0.81993,0.91002,0.77538,0.60288,0.59982,0.96225,0.000495266,0.000495266,0.000495266
73,7656.1,0.54352,0.50392,0.92051,0.92694,0.8041,0.91312,0.76062,0.61994,0.59693,0.9766,0.000478762,0.000478762,0.000478762
74,7797.13,0.49996,1.8235,0.86313,0.87242,0.85851,0.90895,0.75183,0.64275,0.64884,1.0045,0.000462259,0.000462259,0.000462259
75,7969.3,0.56463,0.55257,0.9359,0.9267,0.81682,0.9066,0.7502,0.64651,0.66329,1.0094,0.000445756,0.000445756,0.000445756
76,8172.58,0.56614,0.52803,0.93335,0.93283,0.84343,0.92321,0.77467,0.61644,0.6131,0.99953,0.000429253,0.000429253,0.000429253
77,8295.82,0.6086,0.52814,1.02123,0.97385,0.7895,0.92527,0.77499,0.62427,0.61293,1.00123,0.000412749,0.000412749,0.000412749
78,8399.63,0.56238,0.51105,0.93659,0.9318,0.81326,0.92419,0.77826,0.62669,0.63139,0.99338,0.000396246,0.000396246,0.000396246
79,8501.36,0.51011,0.47142,0.92172,0.91912,0.82756,0.91961,0.76406,0.64748,0.64911,1.00895,0.000379743,0.000379743,0.000379743
80,8618.65,0.52895,0.47101,0.94206,0.87668,0.85591,0.91354,0.7625,0.65577,0.64367,1.02828,0.000363239,0.000363239,0.000363239
81,8747.83,0.5217,0.48657,0.92865,0.901,0.87356,0.91636,0.76339,0.63791,0.63355,1.00424,0.000346736,0.000346736,0.000346736
82,8911.11,0.49871,0.47021,0.90685,0.91752,0.83656,0.91854,0.78059,0.59932,0.60393,0.98079,0.000330233,0.000330233,0.000330233
83,9034.14,0.54008,0.49163,0.92724,0.94713,0.82467,0.91435,0.76606,0.60842,0.60983,0.98272,0.000313729,0.000313729,0.000313729
84,9142.59,0.49209,0.4522,0.90297,0.94461,0.8101,0.90102,0.753,0.62176,0.65377,0.97753,0.000297226,0.000297226,0.000297226
85,9238.14,0.54234,0.47763,0.92359,0.93778,0.8072,0.89473,0.75589,0.61657,0.66106,0.9717,0.000280723,0.000280723,0.000280723
86,9327.41,0.52173,0.46128,0.89714,0.93673,0.84343,0.90794,0.77214,0.60128,0.61778,0.95906,0.00026422,0.00026422,0.00026422
87,9422.04,0.50252,0.45763,0.93536,0.96543,0.80802,0.91912,0.78034,0.59904,0.58838,0.95824,0.000247716,0.000247716,0.000247716
